Section,Subject,Name,ID,Home Tuition (Y/N),Class,Rank,Attendance (%),Unit Test 1,Unit Test 2,Unit Test 3,Focus (0‑10),Homework (0‑10),Q&A (0‑10),Doubt Asking Rate,Exam Prep (0‑10),Special Problems Completion (%)
a,maths,rahul sharma,s001,y,-1.105541596785135,-0.9538209664765319,0.9602386186161177,0.5842101681635934,0.6831777838153511,0.8544912136054876,0.8397372473022734,1.2645627476449233,0.5058894845874085,0.8295352161678993,0.6979731963249899,0.7949963338382295
a,science,rahul sharma,s001,y,-1.105541596785135,-0.9538209664765319,0.7612254334107048,0.3637535009320488,0.45671001017490315,0.4654967309322763,0.8397372473022734,0.6897614987154127,0.5058894845874085,0.41128216599921036,0.6979731963249899,0.6932910459271554
a,english,rahul sharma,s001,y,-1.105541596785135,-0.9538209664765319,1.0597452112188241,0.8781523911389862,0.6076885259352018,0.7766923170708454,0.33080558227059265,1.2645627476449233,0.9274640550769154,0.8295352161678993,1.1738640120011192,0.8967016217493037
b,maths,priya das,s002,n,-1.105541596785135,-1.30066495428618,0.9602386186161177,1.0986090583705308,1.0606240732160976,1.0878879032094144,0.8397372473022734,0.6897614987154127,1.3490386255664224,0.8295352161678993,1.1738640120011192,1.0492595536159148
b,science,priya das,s002,n,-1.105541596785135,-1.30066495428618,1.258758396424237,1.3190657256020755,1.362581104736695,1.3990834893479835,1.3486689123339541,0.6897614987154127,1.3490386255664224,1.247788266336588,1.1738640120011192,1.3035227733936001
b,english,priya das,s002,n,-1.105541596785135,-1.30066495428618,1.1592518038215305,1.172094614114379,1.2870918468565455,1.3212845928133412,1.3486689123339541,1.2645627476449233,0.9274640550769154,1.247788266336588,0.6979731963249899,1.2018174854825259
c,maths,arjun mehta,s003,y,-1.105541596785135,-0.086710996952412,0.06467928519175975,0.1432968337005042,0.15475297865430587,-0.31249223441414636,-0.17812608276108807,0.1149602497859022,0.08431491409790147,-0.006970884169478542,0.22208238064886046,-0.22205654527251145
c,science,arjun mehta,s003,y,-1.105541596785135,-0.086710996952412,-0.03482730741094669,-0.0771598335310404,-0.07171479498614207,-0.07909554481021956,0.33080558227059265,-0.4598409991436083,-0.3372596563916055,-0.4252239343381677,-0.25380843502726896,-0.12035125736143734
c,english,arjun mehta,s003,y,-1.105541596785135,-0.086710996952412,0.26369247039717264,-0.0036742777871922013,0.2302422365344552,-0.15689444134486183,0.33080558227059265,-0.4598409991436083,0.08431491409790147,-0.006970884169478542,0.22208238064886046,0.0322066745051738
a,maths,sneha roy,s004,n,0.9045340337332897,-1.474086948191004,1.45777158162965,1.6130079485774682,1.6645381362572922,1.6324801789519103,1.3486689123339541,1.2645627476449233,1.7706131960559295,1.6660413165052774,1.6497548276772487,1.5577859931712854
a,science,sneha roy,s004,n,0.9045340337332897,-1.474086948191004,1.3582649890269434,1.4660368370897718,1.5890488783771428,1.3990834893479835,1.3486689123339541,1.2645627476449233,1.3490386255664224,1.6660413165052774,1.1738640120011192,1.5069333492157482
